task_id,workload,crp_id,node_id,crp_type,fraction,price,payment,cost,crp_profit
task_17,0.686431,crp_20,node_20,price_setting,0.06362,17335.131469,33.060759,29.197905,3.862854
task_17,0.686431,crp_23,node_23,price_setting,0.061422,17871.338852,31.768908,27.937705,3.831203
task_17,0.686431,crp_25,node_25,price_setting,0.060383,18231.003626,31.320595,27.465599,3.854996
task_17,0.686431,crp_29,node_29,price_setting,0.057526,18955.56304,29.556599,25.773014,3.783585
task_18,0.980094,crp_3,node_3,price_setting,0.069938,14371.669391,67.525875,61.11134,6.414535
task_18,0.980094,crp_5,node_5,price_setting,0.06908,14713.826102,67.446653,60.862307,6.584346
task_18,0.980094,crp_8,node_8,price_setting,0.066702,15230.290721,65.090091,58.481125,6.608966
task_18,0.980094,crp_11,node_11,price_setting,0.064012,15750.679538,61.995777,55.4605,6.535276
task_18,0.980094,crp_16,node_16,price_setting,0.060789,16626.803282,59.018419,52.419503,6.598915
task_18,0.980094,crp_18,node_18,price_setting,0.059727,16980.323108,58.185825,51.53257,6.653255
task_18,0.980094,crp_19,node_19,price_setting,0.059449,17157.750384,58.248148,51.514248,6.733899
task_18,0.980094,crp_20,node_20,price_setting,0.058943,17335.601855,57.854899,51.093684,6.761215
task_18,0.980094,crp_23,node_23,price_setting,0.057081,17871.779094,55.935337,49.188548,6.746789
task_18,0.980094,crp_25,node_25,price_setting,0.056025,18231.423108,54.969793,48.202901,6.766892
task_18,0.980094,crp_29,node_29,price_setting,0.053692,18955.949136,52.493629,45.772908,6.720721
task_19,0.878487,crp_3,node_3,price_setting,0.074185,14371.511819,61.038608,55.240929,5.79768
task_19,0.878487,crp_5,node_5,price_setting,0.073963,14713.700634,62.118461,56.054747,6.063714
task_19,0.878487,crp_8,node_8,price_setting,0.071311,15230.170909,59.771015,53.702548,6.068467
task_19,0.878487,crp_11,node_11,price_setting,0.067912,15750.551495,56.060464,50.151266,5.909199
task_19,0.878487,crp_16,node_16,price_setting,0.064569,16626.692307,53.496499,47.515312,5.981186
task_19,0.878487,crp_18,node_18,price_setting,0.063618,16980.222463,53.036994,46.97276,6.064234
task_19,0.878487,crp_19,node_19,price_setting,0.063642,17157.661388,53.631728,47.431765,6.199963
task_19,0.878487,crp_20,node_20,price_setting,0.063193,17335.517612,53.425048,47.181758,6.243291
task_19,0.878487,crp_23,node_23,price_setting,0.061086,17871.69743,51.465151,45.257752,6.207399
task_19,0.878487,crp_25,node_25,price_setting,0.060012,18231.34664,50.671987,44.43435,6.237637
task_19,0.878487,crp_29,node_29,price_setting,0.057312,18955.874081,48.050658,41.898933,6.151725
